,classifier,mean_accuracy,std_accuracy,n_estimators,criterion,precision,specifity,sensitivity
0,RandomForestClassifier,0.9352941176470588,0.03460716013777143,300,gini,0.9265625,0.9162210338680927,0.9427662957074722
1,RandomForestClassifier,0.934453781512605,0.028694741309182974,200,entropy,0.9310344827586207,0.9215686274509803,0.9443561208267091
2,RandomForestClassifier,0.9319327731092437,0.03103560556742753,300,entropy,0.9308176100628931,0.9215686274509803,0.9411764705882353
3,RandomForestClassifier,0.9310924369747899,0.03429971702850177,400,gini,0.9236760124610592,0.9126559714795008,0.9427662957074722
4,RandomForestClassifier,0.9302521008403362,0.03250265479968691,200,gini,0.9204368174726989,0.9090909090909091,0.9379968203497615
5,RandomForestClassifier,0.9302521008403362,0.03346606344830232,500,gini,0.9251170046801872,0.9144385026737968,0.9427662957074722
6,RandomForestClassifier,0.9285714285714286,0.03297717121066987,400,entropy,0.9291338582677166,0.9197860962566845,0.9379968203497615
7,RandomForestClassifier,0.9277310924369748,0.03226277953017221,100,entropy,0.9290220820189274,0.9197860962566845,0.9364069952305246
8,RandomForestClassifier,0.9277310924369748,0.034484511812912955,500,entropy,0.9251170046801872,0.9144385026737968,0.9427662957074722
9,RandomForestClassifier,0.926890756302521,0.03398949313639779,100,gini,0.9304897314375987,0.9215686274509803,0.9364069952305246
